Database,Keyword,Seed keyword,Page,Topic,Page type,Tags,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend,Click potential,Content references,Competitors
br,lista de compras,lista de compras,,,,,60500,27,0.04,0.82,535000000,Informational,"Video, Video Carousel, People Also Ask, Related Searches, AI Overview, Image Pack, Site Links","0.67,0.55,0.67,0.45,0.45,0.45,0.45,0.45,0.55,0.45,0.45,0.45",20,,
br,lista de compras mercado,lista de compras,,,,,12100,23,0.06,0.81,420000000,Informational,"Image Pack, Site Links, Video, Video Carousel, People Also Ask, Related Searches, AI Overview","0.36,0.36,0.66,0.66,0.66,0.66,0.66,0.54,0.44,0.44,0.66,0.81",20,,
br,lista de compras supermercado,lista de compras,,,,,9900,21,0.04,0.72,108000000,Informational,"Video, Video Carousel, People Also Ask, Related Searches, AI Overview, Image Pack, Site Links","0.54,0.44,0.54,0.44,0.44,0.36,0.54,0.54,0.36,0.36,0.44,0.36",20,,
br,lista de compras completa,lista de compras,,,,,6600,18,0.04,0.90,497000000,Informational,"Image Pack, Site Links, Video, People Also Ask, Related Searches, AI Overview","0.54,0.54,0.66,0.81,0.81,0.66,0.66,0.66,0.66,0.54,0.66,0.54",20,,
br,lista de compra,lista de compras,,,,,5400,26,0.04,0.82,856000000,Informational,"Related Searches, AI Overview, Image Pack, Site Links, Video, Video Carousel, People Also Ask","0.29,0.36,0.36,0.29,0.29,0.36,0.29,0.29,0.29,0.29,0.29,0.24",20,,
br,lista de compras de supermercado,lista de compras,,,,,5400,20,0.04,0.72,103000000,Informational,"Image Pack, Video, People Also Ask, Related Searches, AI Overview","0.54,0.36,0.36,0.24,0.29,0.24,0.24,0.36,0.19,0.24,0.24,0.24",90,,
br,lista de compras do mês,lista de compras,,,,,5400,21,0.05,0.69,501000000,Informational,"Image Pack, Video, Video Carousel, People Also Ask, Related Searches, AI Overview","0.66,0.66,0.81,0.66,0.54,0.54,0.66,1.00,0.66,0.44,0.54,0.81",90,,
br,lista de compras de mercado,lista de compras,,,,,4400,25,0.06,0.81,421000000,Informational,"Video, Video Carousel, People Also Ask, Related Searches, Image Pack","0.29,0.24,1.00,0.36,0.19,0.19,0.16,0.16,0.12,0.16,0.16,0.24",90,,
br,lista de compras supermercado completa,lista de compras,,,,,4400,17,0.04,0.85,35500000,Informational,"Image Pack, Video, People Also Ask, Related Searches","1.00,0.66,0.81,0.54,0.66,0.66,0.54,0.66,0.54,0.43,0.81,0.54",90,,
br,listas de compras,lista de compras,,,,,1600,27,0.04,0.82,0,Informational,"Image Pack, Video, Related Searches","0.03,0.03,0.07,0.10,0.07,0.02,0.03,0.03,0.03,0.03,0.03,0.02",90,,
br,lista de compra mercado,lista de compras,,,,,1300,26,0.06,0.81,0,Informational,"Image Pack, Video, Video Carousel, Related Searches","0.65,0.65,0.55,0.34,0.65,0.34,0.34,0.34,0.44,0.34,0.44,0.34",90,,
br,lista de compra para casa,lista de compras,,,,,1300,16,0.04,0.84,0,Informational,"Video Carousel, Related Searches, Image Pack, Site Links, Video","0.66,0.79,0.36,0.30,0.41,0.54,0.66,0.66,0.66,0.66,1.00,0.66",20,,
br,lista de compras para casa,lista de compras,,,,,1300,13,0.04,0.84,0,Informational,"Image Pack, Video, Video Carousel, Related Searches","0.44,0.65,0.55,0.44,0.55,0.44,0.44,0.34,0.44,0.55,0.65,0.55",90,,
br,lista de compras basica,lista de compras,,,,,1000,20,0.04,0.63,23400000,Informational,"AI Overview, Image Pack, Site Links, Video, People Also Ask, Related Searches","0.34,0.34,0.34,0.44,0.44,0.34,0.34,0.44,0.24,0.24,0.20,0.24",20,,
br,lista de compras de supermercados completa,lista de compras,,,,,1000,22,0.04,0.85,132,Informational,"Video, Video Carousel, Related Searches, AI Overview","0.03,0.54,0.79,0.30,0.05,0.08,1.00,1.00,0.41,0.13,0.54,0.24",90,,
br,lista completa de compras supermercado,lista de compras,,,,,880,11,0.04,0.85,29000000,Informational,"Related Searches, Image Pack, Video","0.24,0.44,0.29,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.66,0.00",90,,
br,lista de compra do mês,lista de compras,,,,,880,15,0.05,0.69,39100000,Informational,"Image Pack, Video, Related Searches, AI Overview","0.54,0.30,0.30,0.24,0.20,0.30,0.30,0.41,0.20,0.79,0.54,1.00",90,,
br,lista de compras para casa nova,lista de compras,,,,,880,16,0.07,0.34,0,Informational,"Image Pack, Site Links, Video, Related Searches","0.54,0.54,0.41,0.36,0.41,0.30,0.30,0.24,0.30,0.20,0.36,0.20",20,,
br,lista de compra de supermercado completa,lista de compras,,,,,720,14,0.04,0.85,48800000,Informational,"Image Pack, Site Links, Video, Related Searches","0.16,0.10,0.13,0.10,0.13,0.13,0.54,0.13,0.20,0.16,0.16,0.10",20,,
br,lista de compras casa nova,lista de compras,,,,,720,10,0.07,0.34,122,Informational,"Image Pack, Site Links, Video, Related Searches","0.36,0.41,0.24,0.24,0.41,0.30,0.24,0.24,0.24,0.20,0.20,0.20",20,,
br,lista de compras simples,lista de compras,,,,,720,24,0.06,0.89,0,Informational,"Image Pack, Site Links, Video, Video Carousel, Related Searches","0.46,0.46,0.46,0.46,0.37,0.31,0.37,0.37,0.25,0.20,0.25,0.25",20,,
br,lista de aniversário o que comprar,lista de compras,,,,,590,7,0.07,0.60,61400000,Informational,"Related Searches, AI Overview, Image Pack, Site Links, Video, Video Carousel","0.81,0.67,0.44,0.29,0.67,0.67,0.67,0.54,0.54,0.36,0.67,0.36",20,,
br,lista de compra completa,lista de compras,,,,,590,13,0.04,0.90,108,Informational,"Video, Related Searches, Image Pack","0.03,0.66,0.07,0.10,0.16,0.27,0.08,0.08,0.16,0.20,0.20,0.13",90,,
br,lista de compras saudavel,lista de compras,,,,,590,12,0.12,0.18,6010000,Informational,"Image Pack, Video, Related Searches, Short Videos, AI Overview","0.30,0.24,0.20,0.20,0.20,0.20,0.20,0.13,0.13,0.07,0.13,0.13",90,,
br,lista de compras supermecado,lista de compras,,,,,590,15,0.04,0.72,53700000,Informational,"Image Pack, Video, Video Carousel, Related Searches","0.39,0.48,0.59,0.48,0.39,0.72,0.72,0.59,0.72,0.26,0.39,0.39",90,,
br,lista de compra de mercado,lista de compras,,,,,480,17,0.06,0.81,0,Informational,"Image Pack, Video, Related Searches","0.11,0.05,0.16,0.16,0.16,0.34,0.16,0.16,0.30,0.16,0.20,0.20",90,,
br,lista de compra do mes,lista de compras,,,,,480,15,0.05,0.69,0,Informational,"Site Links, Video, Video Carousel, Related Searches, Image Pack","0.10,0.03,0.04,0.03,0.13,0.28,0.05,0.05,0.03,0.04,0.05,0.05",20,,
br,lista de compra supermercado,lista de compras,,,,,480,13,0.04,0.72,125000000,Informational,"Image Pack, Video, Video Carousel, Related Searches, See Results About","0.08,0.13,0.30,0.24,0.11,0.20,0.34,0.20,0.13,0.13,0.16,0.11",90,,
br,lista de compras basicas,lista de compras,,,,,480,18,0.04,0.63,116,Informational,"Image Pack, Video, Video Carousel, Related Searches, AI Overview","0.48,0.39,0.48,0.48,0.48,0.48,0.48,0.39,0.39,0.21,1.00,0.32",90,,
br,lista de compras básica,lista de compras,,,,,480,21,0.04,0.63,570000000,Informational,"Image Pack, Video, Video Carousel, Related Searches","0.08,0.10,0.27,0.27,0.27,0.08,0.10,0.10,0.08,0.07,0.10,0.07",90,,
br,lista de compras completa supermercado,lista de compras,,,,,480,12,0.05,0.76,27700000,Informational,"Image Pack, Site Links, Video, Related Searches","0.13,0.10,0.13,0.05,0.10,0.10,0.10,0.13,0.08,0.08,0.08,0.08",20,,
br,lista de compras de mercearia,lista de compras,,,,,480,18,0.00,0.75,193,Informational,"Image Pack, Site Links, Video, Related Searches, AI Overview","0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",20,,
br,lista de compras do mercado,lista de compras,,,,,480,12,0.06,0.81,447000000,Informational,"Video Carousel, Related Searches, Image Pack, Site Links, Video","0.04,0.05,0.07,0.08,0.05,0.10,0.07,0.13,0.05,0.04,0.08,0.04",20,,
br,lista de compras para casal,lista de compras,,,,,480,17,0.04,0.35,136000000,Informational,"AI Overview, Image Pack, Site Links, Video, Related Searches, Short Videos","0.16,0.13,0.13,0.13,0.13,0.10,0.10,0.10,0.08,0.10,0.10,0.08",20,,
br,lista de compras para mercado,lista de compras,,,,,480,15,0.04,0.58,107,Informational,"Image Pack, Site Links, Video, People Also Ask, Related Searches","0.07,0.05,0.08,0.08,0.08,0.07,0.07,0.08,0.07,0.08,0.10,0.07",20,,
br,lista de compras do mes,lista de compras,,,,,390,18,0.04,0.92,119,Informational,"Image Pack, Video, Related Searches","0.30,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.20,0.20,1.00,0.16",90,,
br,lista de compras do mês para 4 pessoas,lista de compras,,,,,390,19,0.00,0.33,195000000,Informational,"Video Carousel, People Also Ask, Related Searches, Short Videos, Image Pack, Video","1.00,0.66,0.44,0.54,0.54,0.81,0.54,0.44,0.36,0.36,0.44,0.81",90,,
br,lista de compras do supermercado,lista de compras,,,,,390,15,0.04,0.72,109000000,Informational,"Image Pack, Video, Related Searches, AI Overview","0.03,0.04,0.54,0.01,0.00,0.01,0.01,0.43,0.00,0.00,0.00,0.00",90,,
br,lista de compras mensal,lista de compras,,,,,390,17,0.05,0.66,40100000,Informational,"Related Searches, Image Pack, Site Links, Video","0.54,0.54,0.44,0.44,0.54,0.54,0.44,0.54,0.44,0.36,0.44,0.36",20,,
